timestamp,type,provider_name,event_id,task_name,process_id,thread_id,ppid,pid,targetpid,targettid,message,processid,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,as version,av version,engine version,desiredaccess,returncode,data,startstop,threadtime,deltacpu,deltawall,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,id,process,reason,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,accessmask,washardened,featureid,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,startqpc,processimagepath,taintreason,cycletime,channel,eventid,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,targetprocesscreationtime,targetprocessstartkey
"2025-09-05 14:14:01.2603095Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"","20452 WerFault.exe",7048,,,"12820 Notepad.exe",,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.2642360Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,""," 1912 MsMpEng.exe",2196,,," 1912 MsMpEng.exe",2196,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.3004086Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"","20452 WerFault.exe",7048,,,"12820 Notepad.exe",21076,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.3291292Z","ETW","Microsoft-Antimalware-Engine",3,"Message "," 1912 MsMpEng.exe",17912,,,,,"Lua IsKnownFriendly(c:\program files\windowsapps\microsoft.windowscalculator_11.2502.2.0_x64__8wekyb3d8bbwe\tracelogging.dll, UseCache: true, fSlowChecks: false) = true from 0x001822bdce6ab208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.3291370Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",17912,,,,,,,,,0,"Behavior:Win32/SuspDllSideLoaded.B","0x1A5B3D8FF6402","84db5fe770e0d0198f480427d1ce9babd9f03e0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.3453424Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"","20452 WerFault.exe",7048,,,"12820 Notepad.exe",,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.3610450Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,""," 1912 MsMpEng.exe",2196,,," 1912 MsMpEng.exe",2196,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.3629276Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,""," 1912 MsMpEng.exe",2196,,," 1912 MsMpEng.exe",2196,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.3633869Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"","20452 WerFault.exe",7048,,,"12820 Notepad.exe",21076,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.4075347Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"","20452 WerFault.exe",7048,,,"12820 Notepad.exe",,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
